,movie,bechdel_pass
0,the355,1
1,theadamproject,0
2,alltheoldknives,1
3,allrasíðastaveiðiferðin,0
4,ambulance,0
5,thebadguys,1
6,badhaaido,1
7,thebatman,1
8,beavisandbutt-headdotheuniverse,0
9,blasted,1
10,thebob’sburgersmovie,1
11,bodiesbodiesbodies,1
12,thebubble,1
13,bullettrain,0
14,catwomanhunted,1
15,chip'ndalerescuerangers,1
16,deathonthenile,1
17,doctorstrangeinthemultiverseofmadness,1
18,dragonballsupersuperhero,1
19,elvis,0
20,emergency,1
21,everythingeverywhereallatonce,1
22,fantasticbeaststhesecretsofdumbledore,0
23,fresh,1
24,goodlucktoyouleogrande,1
25,thegrayman,0
26,thehouse,1
27,theinbetween,0
28,incroyablemaisvrai,0
29,jurassicworlddominion,1
30,kimi,0
31,lanuitdu12,1
32,lightyear,0
33,thelostcity,1
34,loveandgelato,1
35,madgod,0
36,men,1
37,metallords,0
38,minionstheriseofgru,0
39,morbius,0
40,mrsharrisgoestoparis,1
41,noexit,1
42,nope,0
43,thenorthman,0
44,papergirls,1
45,prey,1
46,theroyaltreatment,1
47,savethecinema,1
48,scream,1
49,theseabeast,1
50,senioryear,1
51,sonicthehedgehog2,1
52,spiderhead,0
53,teentitansgo!&dcsuperherogirlsmayheminthemultiverse,1
54,texaschainsawmassacre,1
55,thirteenlives,0
56,thorloveandthunder,1
57,topgunmaverick,1
58,turningred,1
59,umma,1
60,uncharted,0
61,uncharted,0
62,theweekendaway,1
63,x,1
64,#nofilter,0
65,13minutes,1
66,aclassichorrorstory,1
67,afterwefell,0
68,afterlifeoftheparty,1
69,ajeebdaastaans,1
70,americathemotionpicture,1
71,armyofthedead,1
72,armyofthieves,1
73,backtotheoutback,1
74,barbandstargotovistadelmar,1
75,batmanthelonghalloweenpartone,1
76,batmanthelonghalloweenparttwo,0
77,beingthericardos,1
78,belfast,0
79,benedetta,1
80,blackbox,0
81,blackwidow,1
82,boilingpoint,1
83,borga,1
84,thecardcounter,0
85,cherry,0
86,cinderella,1
87,coda,1
88,coming2america,1
89,theconjuringthedevilmademedoit,0
90,cousins,1
91,cruella,1
92,cruella,1
93,cruella,1
94,darkwebcicada3301,1
95,dearevanhansen,0
96,don’tlookup,1
97,drivemycar,1
98,thedry,1
99,dune,1
100,encanto,1
101,escaperoomtournamentofchampions,1
102,eternals,1
103,everytimeabellrings,1
104,eyeofthebeholder,1
105,theeyesoftammyfaye,1
106,f9-thefastsaga,1
107,fatherhood,1
108,fearstreetpartone-1994,1
109,fearstreetpartthree-1666,1
110,fearstreetparttwo-1978,1
111,finding'ohana,1
112,flashback,1
113,freeguy,0
114,thefrenchdispatch,1
115,gûzentosôzô[wheeloffortuneandfantasy],1
116,ghostbustersafterlife,1
117,godzillavskong,1
118,goodonpaper,1
119,greatfreedom,0
120,thegreenknight,0
121,theguilty,0
122,gunpowdermilkshake,1
123,thehardertheyfall,1
124,highground,0
125,hiraeth,1
126,thehitman'swife'sbodyguard,0
127,intheheights,1
128,theinfluencer,1
129,injustice,0
130,inside,0
131,jolt,1
132,judasandtheblackmessiah,0
133,junglecruise,1
134,kate,0
135,theking'sman,0
136,thekissingbooth3,1
137,lalunatomasicoymiabuela,0
138,lamb,0
139,thelastduel,1
140,lastnightinsoho,1
141,licoricepizza,1
142,thelittlethings,1
143,thelostdaughter,1
144,lovehard,0
145,luca,0
146,madameclaude,1
147,malignant,1
148,themanysaintsofnewark,0
149,themarksman,0
150,mass,1
151,thematrixresurrections,1
152,themauritanian,1
153,memoria,1
154,themitchellsvsthemachines,1
155,mortalkombat,0
156,moxie,1
157,nightteeth,0
158,nightmarealley,0
159,nosuddenmove,1
160,notimetodie,0
161,nobody,0
162,old,1
163,oxygen,1
164,parallelmothers,1
165,passing,1
166,petitemaman,1
167,pig,0
168,planb,1
169,thepowerofthedog,0
170,queenbees,1
171,radhe,0
172,rayaandthelastdragon,1
173,rednotice,0
174,reminiscence,0
175,respect,1
176,theretreat,1
177,ron'sgonewrong,1
178,sealteam,1
179,secretagentdingledorfandhistrustydogsplat,0
180,sentinelle,1
181,shang-chiandthelegendofthetenrings,1
182,sing2,0
183,singlealltheway,1
184,spacejamanewlegacy,1
185,spencer,1
186,spider-mannowayhome,1
187,spiralfromthebookofsaw,1
188,stowaway,1
189,thesuicidesquad,1
190,sweetgirl,1
191,sweetheart,1
192,thetenderbar,0
193,thefallout,1
194,theworstpersonintheworld,1
195,there'ssomeoneinsideyourhouse,1
196,thosewhowishmedead,0
197,thunderforce,1
198,tick...tick..boom!,1
199,tilldeath,0
200,titane,0
201,toalltheboysalwaysandforever,1
202,thetomorrowwar,0
203,theunitedstatesvs.billieholiday,1
204,usagain,0
205,venomlettherebecarnage,0
206,westsidestory,1
207,willy'swonderland,1
208,withoutremorse,0
209,wrongturn,1
210,zacksnyder'sjusticeleague,1
211,18presents,1
212,aquietplacepartii,1
213,allthebrightplaces,1
214,ammonite,1
215,anamericanpickle,0
216,antebellum,1
217,artemisfowl,1
218,ava,0
219,badboysforlife,0
220,badhair,1
221,bill&tedfacethemusic,1
222,birdsofprey,1
223,blowthemandown,1
224,boratsubsequentmoviefilm,1
225,bosslevel,0
226,breach,0
227,breath,0
228,cadaver,1
229,thecall,1
230,thecourier,1
231,thecraftlegacy,1
